time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-02T13:28:04.194Z,31.67356557,-104.2051353,6.388647461,2.6,ml,26,58,0.05098732042,0.2,tx,tx2023revi,2023-10-12T16:21:14.040Z,"55 km NW of Toyah, Texas",earthquake,0.5717705921,0.7342507155,0.1,16,reviewed,tx,tx
2023-09-02T06:07:45.626Z,31.60789016,-103.9685271,8.342456055,2.7,ml,17,66,0.002827188665,0.1,tx,tx2023regw,2023-09-13T05:18:40.040Z,"36 km NNW of Toyah, Texas",earthquake,0.5574125179,0.5333334889,0.1,8,reviewed,tx,tx
2023-09-02T04:28:28.649Z,31.58604836,-104.498986,6.054443359000001,3.4,ml,35,142,0.08270689757,0.3,tx,tx2023redp,2023-09-26T03:00:26.037Z,"66 km S of Whites City, New Mexico",earthquake,1.4878739409999997,1.337886676,0.2,24,reviewed,tx,tx
2023-09-01T09:13:18.922Z,31.93267822,-102.0206507,8.387980143,2.8,ml,20,58,0.1000003256,0.1,tx,tx2023rcrm,2023-09-05T18:42:06.985Z,"8 km SE of Midland, Texas",earthquake,0.6173317846,1.413610826,0.2,30,reviewed,tx,tx
2023-08-31T23:32:31.021Z,32.00672923,-103.8260399,7.519799805,2.5,ml,20,59,0.02236491663,0.2,tx,tx2023rbyj,2023-10-07T21:22:43.040Z,"33 km SE of Malaga, New Mexico",earthquake,0.746794003,0.9875815183,0.1,13,reviewed,tx,tx
2023-08-31T14:23:11.901Z,31.63014265,-104.502658,7.288427734,2.5,ml,23,140,0.06564252742,0.3,tx,tx2023rbgg,2023-10-12T16:28:42.040Z,"61 km S of Whites City, New Mexico",earthquake,1.365269845,1.132917947,0.2,16,reviewed,tx,tx
2023-08-31T06:11:40.072Z,31.60349918,-103.9763076,8.522412109,2.6,ml,12,77,0.009623512967,0.1,tx,tx2023rapz,2023-09-21T06:23:05.040Z,"36 km NNW of Toyah, Texas",earthquake,1.165591592,1.113912655,0.1,24,reviewed,tx,tx
2023-08-31T04:23:00.267Z,31.91711426,-102.0238662,8.363525391,2.5,ml,21,52,0.1149880129,0.1,tx,tx2023rami,2023-09-16T22:20:48.040Z,"10 km SSE of Midland, Texas",earthquake,1.651760226,2.165729259,0.2,30,reviewed,tx,tx
2023-08-30T11:40:38.537Z,32.00167485,-103.8254851,8.136791992,2.7,ml,21,54,0.02051959878,0.1,tx,tx2023qzfj,2023-09-12T11:45:56.040Z,"33 km SE of Malaga, New Mexico",earthquake,0.6944350616,0.7789222154,0.1,41,reviewed,tx,tx
2023-08-26T23:05:23.008Z,31.6117994,-104.497093,6.877099609,3.1,ml,27,139,0.05698408008,0.2,tx,tx2023qstx,2023-09-20T21:51:28.040Z,"63 km S of Whites City, New Mexico",earthquake,1.503230175,1.168122041,0.1,13,reviewed,tx,tx
2023-08-26T14:41:30.772Z,31.62900749,-104.5007633,7.314135742,2.6,ml,26,139,0.03966028584,0.2,tx,tx2023qsdh,2023-09-17T15:58:33.040Z,"61 km S of Whites City, New Mexico",earthquake,0.8008204291999999,0.5602463049,0.1,15,reviewed,tx,tx
2023-08-26T13:30:11.770Z,31.61387718,-104.4957689,6.902807617,3.8,ml,47,138,0.05498202743,0.2,tx,tx2023qsaz,2023-09-23T11:07:22.062Z,"63 km S of Whites City, New Mexico",earthquake,1.165787626,0.8587266030000001,0.2,23,reviewed,tx,tx
2023-08-26T07:42:10.864Z,32.4710083,-102.0399438,9.072713216,3.1,ml,29,89,0.4047997215,0.3,tx,tx2023qrpk,2023-09-07T07:30:21.040Z,"29 km SSW of Los Ybanez, Texas",earthquake,1.566309206,2.522069887,0.2,14,reviewed,tx,tx
